id,predicted
0,1
2,0
4,1
7,0
15,1
26,0
44,1
45,0
57,1
66,0
77,0
79,1
86,0
89,1
90,1
105,0
120,0
123,1
125,1
129,1
143,0
151,0
153,0
154,1
157,0
167,0
170,0
171,0
177,0
181,0
187,1
193,0
194,1
199,1
201,0
212,1
219,0
220,0
222,0
224,1
225,1
227,0
232,0
247,0
248,0
262,0
269,0
272,1
278,1
290,0
291,0
296,0
307,1
309,0
310,1
316,1
324,1
326,0
341,0
365,1
371,0
376,1
380,1
388,0
389,0
412,1
413,1
416,1
420,0
427,0
429,1
446,0
448,0
454,0
466,0
472,0
502,1
511,0
520,0
530,0
541,1
544,1
547,0
548,0
557,1
561,0
563,0
572,1
581,1
583,0
587,1
588,0
591,0
640,1
649,1
656,1
675,1
688,0
708,0
729,0
735,1
744,0
748,1
751,0
756,0
762,1
764,1
773,0
779,0
791,1
802,1
805,0
807,0
819,0
828,1
831,0
836,1
845,1
859,1
869,1
874,1
875,0
877,1
885,0
899,0
901,1
902,0
912,0
916,0
932,0
934,1
942,1
946,1
972,0
1006,1
1019,1
1045,0
1046,1
1054,0
1075,0
1076,0
1086,0
1091,0
1093,0
1097,1
1101,0
1127,1
1137,1
1145,1
1157,1
1197,1
1209,0
1212,1
1219,1
1231,0
1260,1
1262,1
1263,1
1275,1
1282,0
1284,1
1286,1
1288,0
1309,1
1327,1
1329,1
1330,0
1340,0
1353,1
1358,0
1367,0
1373,0
1386,0
1388,0
1397,1
1413,0
1432,1
1443,0
1445,1
1458,0
1473,0
1475,0
1480,1
1489,1
1535,1
1539,1
1541,1
1543,0
1546,0
1567,1
1592,1
1599,0
1606,0
1620,1
1622,1
1635,0
1652,1
1659,0
1660,1
1665,0
1686,1
1717,1
1740,1
1751,0
1758,1
1793,0
1807,0
1811,0
1812,0
1820,1
1824,1
1837,0
1842,1
1853,0
1860,0
1866,1
1869,0
1874,0
1876,1
1894,1
1898,0
1902,1
1908,1
1913,0
1921,1
1924,1
1937,1
1946,0
1949,1
1963,1
1964,0
1972,0
1978,1
1979,0
1981,0
1982,0
2013,0
2016,1
2021,1
2024,0
2036,1
2037,1
2049,1
2061,0
2081,1
2082,0
2102,1
2105,0
2114,1
2115,1
2118,1
2152,0
2153,0
2170,0
2177,0
2190,1
2203,1
2213,1
2218,1
2221,1
2226,0
2246,1
2250,1
2257,1
2264,1
2286,1
2294,0
2296,1
2301,0
2305,1
2319,0
2334,0
2353,0
2356,0
2398,1
2430,1
2438,1
2459,0
2463,1
2464,0
2466,0
2473,1
2474,0
2482,0
2483,0
2489,1
2514,1
2523,1
2530,1
2531,0
2535,1
2537,0
2595,0
2597,1
2632,0
2635,0
2644,0
2645,0
2672,0
2678,1
2687,0
2706,0
2710,1
2715,1
2733,1
2800,0
2802,0
2805,0
2808,1
2821,0
2829,1
2841,0
2878,0
2880,0
2896,1
2902,1
2905,0
2908,0
2910,1
2927,0
2929,0
2934,0
2941,0
2958,1
2975,1
2980,0
2982,1
2988,1
3002,0
3032,0
3056,1
3073,1
3078,1
3087,0
3099,1
3105,1
3114,1
3127,1
3132,0
3138,1
3142,0
3148,0
3149,1
3157,1
3162,1
3174,1
3175,0
3180,1
3197,1
3199,0
3204,0
3205,1
3208,1
3221,0
3223,1
3235,0
3238,1
3259,0
3279,0
3297,0
3302,1
3310,0
3312,1
3320,0
3327,1
3332,1
3337,0
3369,1
3374,0
3375,0
3389,0
3392,0
3406,1
3441,0
3442,1
3443,0
3446,0
3449,0
3451,1
3456,1
3472,0
3493,0
3503,0
3513,0
3515,1
3532,0
3553,0
3560,0
3580,0
3587,0
3588,0
3603,1
3605,1
3608,0
3610,1
3615,1
3617,0
3631,0
3633,0
3636,1
3639,1
3648,1
3653,1
3655,1
3659,1
3667,0
3668,1
3671,1
3673,0
3685,0
3691,1
3700,0
3707,0
3717,0
3726,0
3736,1
3778,0
3792,0
3801,0
3844,1
3860,0
3865,1
3867,1
3877,1
3878,0
3887,0
3893,0
3908,1
3916,0
3926,0
3929,0
3932,0
3936,0
3939,1
3941,0
3954,0
3957,1
3977,0
3983,0
4001,0
4006,0
4019,1
4046,1
4051,0
4058,0
4068,0
4147,1
4152,0
4153,1
4156,1
4163,1
4165,1
4167,1
4175,0
4178,0
4190,1
4205,1
4207,1
4214,0
4224,0
4252,1
4255,0
4273,0
4293,0
4299,0
4310,1
4317,0
4324,1
4348,1
4349,0
4351,0
4353,0
4355,0
4365,1
4373,0
4379,1
4391,0
4396,1
4413,1
4416,1
4429,0
4436,1
4437,0
4450,1
4454,1
4463,1
4465,1
4485,0
4488,0
4495,1
4503,1
4510,1
4523,0
4537,1
4541,1
4546,0
4547,0
4557,0
4558,0
4568,1
4571,1
4576,0
4584,1
4588,1
4595,1
4601,1
4617,0
4618,0
4624,1
4641,1
4642,0
4656,1
4661,0
4665,0
4672,1
4673,1
4674,0
4676,1
4688,1
4692,1
4695,0
4718,0
4722,1
4731,0
4760,1
4780,1
4784,1
4791,0
4798,0
4802,0
4810,1
4816,0
4820,1
4830,0
4842,1
4850,0
4871,0
4876,0
4879,1
4883,1
4886,1
4892,0
4893,1
4896,1
4900,0
4901,1
4912,0
4914,0
4929,0
4952,0
4973,1
4986,1
4992,1
4996,1
5002,0
5011,1
5017,0
5042,0
5046,1
5048,0
5052,1
5056,0
5062,0
5063,1
5064,1
5065,1
5067,0
5080,1
5085,1
5087,0
5090,1
5103,0
5125,1
5126,0
5135,0
5142,0
5155,0
5161,0
5184,1
5187,1
5188,0
5194,0
5231,0
5241,1
5276,1
5278,0
5286,1
5293,1
5298,1
5319,0
5329,0
5345,0
5348,0
5350,0
5355,0
5387,0
5389,1
5391,0
5409,0
5410,1
5412,1
5443,0
5445,1
5457,0
5462,0
5470,1
5477,1
5484,0
5486,0
5494,1
5495,1
5501,1
5511,0
5518,0
5523,0
5525,0
5535,1
5538,1
5540,0
5542,1
5549,1
5557,0
5568,0
5572,0
5587,0
5588,1
5593,0
5602,1
5612,0
5618,1
5620,1
5625,0
5627,0
5630,1
5636,0
5645,1
5658,1
5663,0
5669,1
5687,1
5694,0
5712,0
5716,1
5725,1
5726,0
5727,0
5734,1
5750,0
5754,0
5762,0
5765,0
5782,0
5804,0
5828,1
5839,1
5844,0
5851,1
5853,0
5862,0
5865,0
5901,0
5908,0
5921,0
5922,0
5926,0
5931,0
5938,0
5952,1
5954,0
5960,0
5981,0
