id,predicted
0,1
2,1
4,0
7,1
15,1
26,0
44,1
45,0
57,1
66,0
77,1
79,1
86,1
89,0
90,0
105,0
120,0
123,1
125,1
129,1
143,0
151,0
153,0
154,1
157,1
167,0
170,0
171,0
177,1
181,1
187,1
193,0
194,0
199,1
201,1
212,1
219,1
220,0
222,0
224,0
225,1
227,0
232,0
247,0
248,1
262,0
269,0
272,0
278,1
290,1
291,0
296,0
307,1
309,0
310,1
316,0
324,1
326,0
341,0
365,1
371,0
376,1
380,0
388,0
389,0
412,0
413,0
416,1
420,1
427,0
429,1
446,0
448,0
454,1
466,0
472,0
502,0
511,1
520,0
530,0
541,1
544,1
547,1
548,0
557,1
561,0
563,1
572,1
581,1
583,1
587,0
588,0
591,0
640,1
649,1
656,1
675,0
688,0
708,1
729,1
735,1
744,0
748,1
751,1
756,1
762,0
764,1
773,0
779,0
791,1
802,1
805,0
807,1
819,0
828,0
831,0
836,1
845,1
859,1
869,1
874,1
875,0
877,1
885,0
899,0
901,1
902,0
912,0
916,0
932,0
934,1
942,1
946,1
972,0
1006,0
1019,1
1045,1
1046,1
1054,0
1075,0
1076,0
1086,0
1091,0
1093,0
1097,1
1101,1
1127,1
1137,0
1145,1
1157,0
1197,1
1209,0
1212,1
1219,1
1231,1
1260,1
1262,1
1263,1
1275,1
1282,0
1284,1
1286,1
1288,0
1309,1
1327,1
1329,0
1330,1
1340,0
1353,1
1358,0
1367,1
1373,0
1386,0
1388,1
1397,1
1413,0
1432,0
1443,1
1445,1
1458,0
1473,1
1475,0
1480,1
1489,1
1535,0
1539,1
1541,1
1543,0
1546,0
1567,1
1592,1
1599,0
1606,0
1620,1
1622,1
1635,0
1652,1
1659,0
1660,0
1665,0
1686,1
1717,0
1740,1
1751,0
1758,0
1793,1
1807,0
1811,1
1812,1
1820,1
1824,1
1837,0
1842,1
1853,0
1860,0
1866,0
1869,0
1874,0
1876,1
1894,1
1898,0
1902,1
1908,1
1913,0
1921,1
1924,0
1937,1
1946,0
1949,0
1963,1
1964,1
1972,0
1978,1
1979,0
1981,0
1982,0
2013,0
2016,1
2021,1
2024,0
2036,0
2037,1
2049,1
2061,0
2081,0
2082,0
2102,1
2105,0
2114,1
2115,0
2118,1
2152,0
2153,0
2170,0
2177,0
2190,1
2203,1
2213,0
2218,1
2221,1
2226,0
2246,0
2250,1
2257,1
2264,1
2286,0
2294,0
2296,1
2301,1
2305,0
2319,0
2334,1
2353,1
2356,1
2398,1
2430,1
2438,0
2459,0
2463,1
2464,0
2466,0
2473,1
2474,0
2482,0
2483,0
2489,0
2514,0
2523,1
2530,1
2531,0
2535,1
2537,1
2595,0
2597,1
2632,0
2635,0
2644,0
2645,0
2672,0
2678,0
2687,0
2706,0
2710,1
2715,1
2733,1
2800,0
2802,0
2805,1
2808,0
2821,0
2829,1
2841,0
2878,1
2880,0
2896,1
2902,1
2905,1
2908,0
2910,1
2927,1
2929,1
2934,0
2941,0
2958,0
2975,1
2980,1
2982,1
2988,1
3002,0
3032,1
3056,1
3073,1
3078,1
3087,1
3099,0
3105,1
3114,1
3127,0
3132,0
3138,0
3142,0
3148,1
3149,1
3157,1
3162,0
3174,1
3175,0
3180,1
3197,1
3199,0
3204,1
3205,1
3208,1
3221,0
3223,0
3235,0
3238,1
3259,0
3279,1
3297,0
3302,0
3310,0
3312,0
3320,0
3327,1
3332,1
3337,1
3369,0
3374,1
3375,0
3389,0
3392,1
3406,0
3441,0
3442,1
3443,0
3446,0
3449,0
3451,1
3456,1
3472,0
3493,0
3503,1
3513,0
3515,1
3532,0
3553,0
3560,0
3580,0
3587,1
3588,0
3603,1
3605,0
3608,0
3610,1
3615,0
3617,0
3631,1
3633,0
3636,1
3639,1
3648,0
3653,0
3655,1
3659,1
3667,0
3668,1
3671,1
3673,0
3685,0
3691,0
3700,0
3707,0
3717,0
3726,0
3736,1
3778,0
3792,1
3801,0
3844,1
3860,0
3865,0
3867,1
3877,0
3878,0
3887,0
3893,1
3908,1
3916,0
3926,0
3929,1
3932,0
3936,0
3939,0
3941,1
3954,0
3957,1
3977,1
3983,1
4001,0
4006,0
4019,1
4046,1
4051,0
4058,1
4068,1
4147,1
4152,0
4153,1
4156,1
4163,1
4165,1
4167,1
4175,0
4178,0
4190,0
4205,1
4207,1
4214,1
4224,0
4252,0
4255,0
4273,0
4293,1
4299,0
4310,0
4317,1
4324,1
4348,1
4349,1
4351,1
4353,1
4355,0
4365,1
4373,1
4379,1
4391,1
4396,0
4413,1
4416,0
4429,0
4436,0
4437,0
4450,0
4454,1
4463,1
4465,1
4485,0
4488,1
4495,0
4503,1
4510,1
4523,1
4537,0
4541,0
4546,0
4547,0
4557,0
4558,0
4568,1
4571,1
4576,0
4584,1
4588,0
4595,1
4601,1
4617,0
4618,1
4624,0
4641,0
4642,1
4656,1
4661,0
4665,1
4672,1
4673,1
4674,0
4676,0
4688,0
4692,0
4695,0
4718,0
4722,1
4731,0
4760,1
4780,1
4784,1
4791,0
4798,1
4802,1
4810,1
4816,1
4820,1
4830,1
4842,1
4850,0
4871,0
4876,0
4879,0
4883,1
4886,0
4892,0
4893,1
4896,1
4900,0
4901,0
4912,0
4914,1
4929,0
4952,0
4973,1
4986,1
4992,1
4996,1
5002,0
5011,0
5017,0
5042,0
5046,1
5048,1
5052,1
5056,0
5062,0
5063,1
5064,1
5065,1
5067,0
5080,1
5085,0
5087,0
5090,1
5103,1
5125,1
5126,1
5135,0
5142,0
5155,0
5161,1
5184,0
5187,0
5188,0
5194,0
5231,0
5241,1
5276,0
5278,0
5286,1
5293,1
5298,1
5319,1
5329,1
5345,0
5348,1
5350,1
5355,1
5387,1
5389,1
5391,1
5409,0
5410,1
5412,1
5443,1
5445,1
5457,0
5462,1
5470,0
5477,1
5484,0
5486,0
5494,1
5495,1
5501,1
5511,0
5518,0
5523,0
5525,0
5535,1
5538,0
5540,0
5542,1
5549,0
5557,1
5568,1
5572,0
5587,0
5588,1
5593,0
5602,1
5612,0
5618,1
5620,0
5625,0
5627,0
5630,1
5636,0
5645,1
5658,1
5663,1
5669,1
5687,1
5694,0
5712,0
5716,1
5725,0
5726,0
5727,0
5734,1
5750,1
5754,1
5762,0
5765,1
5782,0
5804,0
5828,0
5839,1
5844,1
5851,1
5853,0
5862,1
5865,0
5901,0
5908,1
5921,1
5922,0
5926,0
5931,0
5938,0
5952,0
5954,1
5960,0
5981,0
5983,0
6019,1
6031,0
6035,1
6051,0
6060,1
6062,0
6067,1
6068,1
6070,0
6079,0
6107,1
